cafe_id,name,district,food_type,suitable_for,budget_level,description,url/contact number
1,Upali's,Colombo,Sri Lankan,"Solo,Couple,Family",Medium,Traditional Sri Lankan dishes in a cozy setting,https://www.tripadvisor.com/Restaurant_Review-g293962-d1234567
2,The Ministry of Crab,Colombo,Sri Lankan,"Couple,Family",High,Famous seafood & crab specialty restaurant,https://www.themiracleofcrab.com
3,Nuga Gama,Colombo,Sri Lankan,Family,Medium,Rustic Sri Lankan village experience with local cuisine,94112567890
4,Ministry of Crab Express,Colombo,Sri Lankan,"Solo,Couple",High,Quick crab dishes with high ratings,94111234567
5,Kaema Sutra,Colombo,Sri Lankan,Couple,Medium,Contemporary Sri Lankan fine dining,https://kaemasutra.lk
6,Curry Leaf,Colombo,Sri Lankan,Family,Medium,Authentic home-style Sri Lankan curry,https://www.theworlds50best.com/discovery/Establishments/Sri-Lanka/Colombo/Curry-Leaf.html
7,Curry Leaf Indian,Colombo,Indian,"Solo,Couple,Family",Medium,Indian cuisine including curries and biryani,https://www.google.com/search?q=curryleafindian+colombo&oq=curryleafindian+colombo&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgcIAhAhGI8C0gEJMTA1OTlqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
8,Indian Summer,Colombo,Indian,Couple,High,Modern Indian dishes in upscale environment,94112345678
9,Tandoori Flames,Colombo,Indian,Family,Medium,North & South Indian specialties,https://tandooriflames.lk
10,Bombay Bistro,Colombo,Indian,"Solo,Couple",Medium,Casual Indian dining experience,94112233456
11,Taj Mahal,Colombo,Indian,"Couple,Family",High,Indian classics & special curries,94112244556
12,Spice Lounge,Colombo,Indian,Solo,Medium,Quick Indian snacks & meals,https://spicelounge.lk
13,Chopsticks,Colombo,Chinese,"Solo,Couple,Family",Medium,Authentic Chinese food with noodles & dim sum,94112332111
14,Dragon Court,Colombo,Chinese,Couple,High,Fine dining Chinese cuisine,https://dragoncourt.lk
15,Golden Dragon,Colombo,Chinese,Family,Medium,Chinese family-friendly menu,94112221133
16,Jade Garden,Colombo,Chinese,"Solo,Couple",Medium,Popular Chinese restaurant with great ambiance,94112223344
17,China Garden,Colombo,Chinese,Family,Medium,Classic Chinese dishes & fried rice,Contact:0112691464
18,Red Lantern,Colombo,Chinese,Couple,High,Modern Chinese fusion,94112334455
