place_id,name,district,category,description, URL
1,Colombo National Museum,Colombo,Historical,Largest museum in Sri Lanka showcasing cultural artifacts and historical treasures.,https://en.wikipedia.org/wiki/Colombo_National_Museum
2,Independence Memorial Hall,Colombo,Historical,Historic monument commemorating Sri Lanka's independence from British rule in 1948.,https://en.wikipedia.org/wiki/Independence_Memorial_Hall
3,Old Dutch Hospital,Colombo,Historical,"One of the oldest buildings in Colombo Fort, now a shopping and dining hub.",https://en.wikipedia.org/wiki/Old_Colombo_Dutch_Hospital
4,Kelaniya Raja Maha Vihara,Colombo,Historical,Ancient Buddhist temple with stunning murals and religious significance.,https://en.wikipedia.org/wiki/Kelaniya_Raja_Maha_Vihara
5,Viharamahadevi Park,Colombo,Nature,"Colombo’s largest public park with walking paths, gardens, and playgrounds.",https://en.wikipedia.org/wiki/Viharamahadevi_Park
6,Diyatha Uyana,Colombo,Nature,"Urban park with landscaped gardens, walking trails, and weekend markets.",https://en.wikipedia.org/wiki/Diyatha_Uyana?utm_source=chatgpt.com
7,Beddagana Wetland Park,Colombo,Nature,Wetland park ideal for bird watching and nature walks in the heart of the city.,https://www.uda.gov.lk/beddagana/
8,Thalangama Lake,Colombo,Nature,"Serene lake surrounded by green walking paths, perfect for a morning jog or picnic.",https://lakpura.com/pages/thalangama-wetlands
9,Leisure World Water Park,Colombo,Adventure,"Fun-filled water park with slides, wave pools, and activities for all ages.",https://www.leisureworld.lk/
10,Pearl Bay Adventure Park,Colombo,Adventure,"Adventure park offering zip lines, climbing walls, and outdoor sports.",https://www.thepearlbay.com/
11,Port City Cycling Trails,Colombo,Adventure,"Newly built cycling paths along the waterfront, great for active city exploration.",https://www.rapidadventures.lk/experiences/atv-rides-at-colombo-port-city
12,Jet Skiing – Galle Face,Colombo,Adventure,Thrilling jet ski rides along the scenic coastline of Galle Face Green.,https://lakpura.com/products/jet-ski-adventure-from-south-of-colombo
13,Galle Face Green Beach,Colombo,Beaches,Popular seaside promenade and open space with ocean views and street food.,https://en.wikipedia.org/wiki/Galle_Face
14,Mount Lavinia Beach,Colombo,Beaches,"Famous beach with golden sand, hotels, and beachfront dining options.",https://en.wikipedia.org/wiki/Mount-Lavinia
15,Wellawatte Beach,Colombo,Beaches,"Quiet urban beach ideal for jogging, relaxing, and casual evening walks.",https://wanderlog.com/place/details/1815673/wellawatte-beach
16,Dehiwala Beach,Colombo,Beaches,Calm beach area with safe swimming and nearby small eateries.,https://www.yamu.lk/kamu/dehiwala-beach/
17,Uruwala Valagamba Raja Maha Vihara,Gampaha,Historical,Ancient Buddhist temple and archaeological protected site with cave shrine history. ,https://en.wikipedia.org/wiki/Uruwala_Valagamba_Raja_Maha_Vihara
18,Yatawatte Purana Vihara,Gampaha,Historical,Historic temple known for its Tempita architecture and ancient stupa. ,https://en.wikipedia.org/wiki/Yatawatte_Purana_Vihara
19,Pilikuththuwa Raja Maha Vihara,Gampaha,Historical,Extensive cave temple complex with over 70 rock caves and ancient inscriptions. ,https://en.wikipedia.org/wiki/Pilikuththuwa_Raja_Maha_Vihara
20,Kelaniya Raja Maha Vihara (Negombo area),Gampaha,Historical,Revered ancient Buddhist temple with beautiful murals and rich cultural history.,https://en.wikipedia.org/wiki/Kelaniya_Raja_Maha_Vihara
21,Henarathgoda Botanical Garden,Gampaha,Nature,"Historic botanical garden with many plant species, first rubber trees in Asia, scenic walks. ",https://en.wikipedia.org/wiki/Henarathgoda_Botanical_Gardens
22,Muthurajawela Marsh,Gampaha,Nature,Vast wetland ecosystem perfect for bird watching and eco boat safaris. ,https://en.wikipedia.org/wiki/Muthurajawela_wetlands
23,Negombo Lagoon,Gampaha,Nature,"Scenic lagoon with mangroves, fishing tours, and birding opportunities. ",https://en.wikipedia.org/wiki/Negombo_Lagoon-https://en.wikipedia.org/wiki/Negombo_Lagoon
24,Gampaha Oruthota Walking Path,Gampaha,Nature,Picturesque riverside walking path great for nature strolls and exercise.,https://dayouting.lk/places-to-visit/664/gampaha-oruthota-walking-path
25,Boat Safari – Muthurajawela Marsh,Gampaha,Adventure,Guided boat tours through dense mangroves with wildlife spotting. ,https://en.wikipedia.org/wiki/Muthurajawela_wetlands
26,Water Sports – Negombo Beach+B50B27:B49F9B27:BB27:B51,Gampaha,Adventure,"Jet skiing, banana boat rides, and other beach water sports. ",[https://www.google.com/search?q=Water+Sports+Negombo+Beach+Sri+Lanka](https://www.google.com/search?q=Water+Sports+Negombo+Beach+Sri+Lanka)
27,Fishing Village Experience – Negombo,Gampaha,Adventure,Traditional fishing tours and catamaran rides give cultural adventure. ,[https://www.google.com/search?q=Fishing+Village+Experience+Negombo](https://www.google.com/search?q=Fishing+Village+Experience+Negombo)
28,Ja?Ela Canal Cycling,Gampaha,Adventure,Scenic ride along Dutch?built canal paths through paddy fields.,[https://www.google.com/search?q=JaEla+Canal+Cycling+Sri+Lanka](https://www.google.com/search?q=JaEla+Canal+Cycling+Sri+Lanka)
29,Negombo Beach,Gampaha,Beaches,"Long golden sandy beach with resorts, seafood shacks, and sunset views. ",[https://www.google.com/search?q=Negombo+Beach+Sri+Lanka](https://www.google.com/search?q=Negombo+Beach+Sri+Lanka)
30,Ettukala Beach,Gampaha,Beaches,"Lively beach strip with restaurants, cafes, and water activities. ",[https://www.google.com/search?q=Ettukala+Beach+Sri+Lanka](https://www.google.com/search?q=Ettukala+Beach+Sri+Lanka)
31,Uswetakeiyawa Beach,Gampaha,Beaches,Quieter beach option ideal for sunset watching and walking. ,[https://www.google.com/search?q=Uswetakeiyawa+Beach+Sri+Lanka](https://www.google.com/search?q=Uswetakeiyawa+Beach+Sri+Lanka)
32,Catamaran Riding Beach (Negombo),Gampaha,Beaches,Traditional catamaran rides with coastal views and fishing culture. ,[https://www.google.com/search?q=Catamaran+Riding+Beach+Negombo](https://www.google.com/search?q=Catamaran+Riding+Beach+Negombo)
33,Kalutara Bodhiya,Kalutara,Historical,"Ancient sacred Bodhi tree believed to be one of the 32 saplings from Jaya Sri Maha Bodhi, visited by pilgrims. ",https://www.google.com/search?q=Kalutara+Bodhiya+Sri+Lanka
34,Kalutara Chaitya Stupa,Kalutara,Historical,Unique hollow Buddhist stupa with paintings depicting scenes from Buddha’s life. ,https://www.google.com/search?q=Kalutara+Chaitya+Stupa
35,Richmond Castle,Kalutara,Historical,Early 20th?century Edwardian mansion with elegant architecture and historic gardens. ,https://www.google.com/search?q=Richmond+Castle+Sri+Lanka
36,Kande Vihara Temple,Kalutara,Historical,Large hilltop Buddhist temple with rich history and panoramic views.,https://www.google.com/search?q=Kande+Vihara+Temple+Sri+Lanka
37,Thudugala Ella Waterfall,Kalutara,Nature,"Picturesque waterfall set amidst lush forest, ideal for picnics and nature walks. ",https://www.google.com/search?q=Thudugala+Ella+Waterfall
38,Kalu Ganga River Safari,Kalutara,Nature,Scenic boat tour along the river with birdwatching and mangrove views. ,https://www.google.com/search?q=Kalu+Ganga+River+Safari+Sri+Lanka
39,Makeli Ella Falls,Kalutara,Nature,Serene waterfall known for its cool plunge pool and surrounding greenery. ,https://www.google.com/search?q=Makeli+Ella+Falls+Sri+Lanka
40,Kosgoda Turtle Hatchery,Kalutara,Nature,Turtle conservation site where visitors can learn about and support endangered turtles.,https://www.google.com/search?q=Kosgoda+Turtle+Hatchery+Sri+Lanka
41,Kalu Ganga Kayaking,Kalutara,Adventure,Kayaking along the scenic Kalu River with wildlife sights and gentle rapids. ,https://www.google.com/search?q=Kalu+Ganga+Kayaking+Sri+Lanka
42,Pahiyangala Caves Exploration,Kalutara,Adventure,Historic rock caves with prehistoric human settlement remains to explore. ,https://www.google.com/search?q=Pahiyangala+Caves+Sri+Lanka
43,Handunugoda Tea Estate walk,Kalutara,Adventure,Guided tours through tea fields and plantations with tasting experiences. ,https://www.google.com/search?q=Handunugoda+Tea+Estate+Walk
44,Mangrove Nature Trek,Kalutara,Adventure,Off?beaten trekking path through lush mangroves and wildlife habitats.,https://www.google.com/search?q=Mangrove+Nature+Trek+Sri+Lanka
45,Kalutara Beach,Kalutara,Beaches,"Wide sandy beach perfect for relaxation, swimming, and sunset views. ",https://www.google.com/search?q=Kalutara+Beach+Sri+Lanka
46,Calido Beach,Kalutara,Beaches,Less crowded beach known for its golden sands and soothing waves. ,https://www.google.com/search?q=Calido+Beach+Sri+Lanka
47,Bentota Beach (Kalutara border),Kalutara,Beaches,Popular beach destination with water sports and beachfront dining. ,https://www.google.com/search?q=Bentota+Beach+Sri+Lanka
48,Kosgoda Beach,Kalutara,Beaches,Quieter coastal shore near the turtle hatchery with scenic views.,https://www.google.com/search?q=Kosgoda+Beach+Sri+Lanka
49,Sri Dalada Maligawa (Temple of the Tooth Relic),Kandy,Historical,"Sacred Buddhist temple housing the tooth relic of Buddha, UNESCO?listed and deeply revered. ",https://en.wikipedia.org/wiki/Temple_of_the_Tooth
50,Sri Maha Bodhi Viharaya,Kandy,Historical,Famous Buddhist temple known for its giant Buddha statue visible throughout Kandy. ,https://www.google.com/search?q=Sri+Maha+Bodhi+Viharaya
51,Kadugannawa Ambalama,Kandy,Historical,Historic colonial?era resting place beside the Kandy?Colombo road with heritage value. ,https://www.google.com/search?q=Kadugannawa+Ambalama+Sri+Lanka
52,British Garrison Cemetery,Kandy,Historical,Historic cemetery from colonial times with aged tombstones and historical significance.,https://www.google.com/search?q=British+Garrison+Cemetery+Sri+Lanka
