stay_id,name,district,accommodation_types,suitable_for,budget_level,description,url/contact number,,,
1,Cinnamon Grand Colombo,Colombo,Hotel,Family;Couple,High,Click here to visit the website or get contact details.,https://www.cinnamonhotels.com/,,,
2,Shangri‑La Colombo,Colombo,Hotel,Family;Couple,High,Click here to visit the website or get contact details.,https://www.shangri-la.com/colombo/shangrila/,,,
3,Mount Lavinia Hotel,Colombo,Hotel,Solo;Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.mountlaviniahotel.com/,,,
4,Marino Beach Colombo,Colombo,Hotel,Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.marinobeach.com/,,,
5,Galle Face Hotel,Colombo,Hotel,Family;Couple,High,Click here to visit the website or get contact details.,https://gallefacehotel.com/,,,
6,OZO Colombo,Colombo,Hotel,Solo;Couple,Medium,Click here to visit the website or get contact details.,https://ozo.colombohotels.net/en/,,,
7,Ramada by Wyndham Colombo,Colombo,Hotel,Couple;Family,Medium,Click here to visit the website or get contact details.,https://www.ramadacolombo.com/,,,
8,Colombo Villa ,Colombo,Villa,Couple,Medium,Click here to visit the website or get contact details.,https://www.colombovilla.lk/,,,
9,Fairway Villas,Colombo,Villa,Couple;Family,High,Click here to visit the website or get contact details.,https://www.fairwaycolombo.com/,,,
10,Sandy Bliss Villa,Colombo,Villa,Couple;Family,High,Click here to visit the website or get contact details.,https://www.google.com/travel/search?q=villa%20%20colombo&g2lb=4965990%2C72471280%2C72560029%2C72573224%2C72647020%2C72686036%2C72803964%2C72882230%2C72958624%2C73059275%2C73064764%2C121608705&hl=en-LK&gl=lk&cs=1&ssta=1&ts=CAISCgoCCAMKAggDEAAaUgoyEjAyJTB4M2FlMjUzZDEwZjdhNzAwMzoweDMyMGIyZTRkMzJkMzgzOGQ6B0NvbG9tYm8SHBIUCgcI6g8QBxgYEgcI6g8QBxgbGAMyAhAAOAEqDQoFOgNMS1IaBCICCgQ&qs=CAEyJ0Noa1FvOXZGcnVTam5Pa3JHZzB2Wnk4eE1YbzBjMm93Wm1Sd0VBSTgGQgkRL5sc8eN5j9pCCRGjbdFFHnHSK0IJEcwbKJFb3xRRWkUyQ6oBQBABKgkiBXZpbGxhKAAyHhABIhoKIyuHC4IsBi51FyYY4mmCms5eNTuEm-jtZDIREAIiDXZpbGxhIGNvbG9tYm8&ap=MAA&ictx=111&ved=0CAAQ5JsGahcKEwjI-5SEyIuUAxUAAAAAHQAAAAAQUw,,,
